service_date,global_night_id,timezone,eligible,physical_available,eclo_eligible,gross_capacity,nominal_weekly_limit,calendar_revision
2026-05-28,synthetic-calendar-v1:2026-05-28,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-29,synthetic-calendar-v1:2026-05-29,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-30,synthetic-calendar-v1:2026-05-30,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-31,synthetic-calendar-v1:2026-05-31,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-01,synthetic-calendar-v1:2026-06-01,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-02,synthetic-calendar-v1:2026-06-02,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-03,synthetic-calendar-v1:2026-06-03,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-04,synthetic-calendar-v1:2026-06-04,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-05,synthetic-calendar-v1:2026-06-05,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-06,synthetic-calendar-v1:2026-06-06,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-07,synthetic-calendar-v1:2026-06-07,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-08,synthetic-calendar-v1:2026-06-08,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-09,synthetic-calendar-v1:2026-06-09,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-10,synthetic-calendar-v1:2026-06-10,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-11,synthetic-calendar-v1:2026-06-11,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-12,synthetic-calendar-v1:2026-06-12,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-13,synthetic-calendar-v1:2026-06-13,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-14,synthetic-calendar-v1:2026-06-14,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-15,synthetic-calendar-v1:2026-06-15,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-16,synthetic-calendar-v1:2026-06-16,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-17,synthetic-calendar-v1:2026-06-17,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-18,synthetic-calendar-v1:2026-06-18,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-19,synthetic-calendar-v1:2026-06-19,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-20,synthetic-calendar-v1:2026-06-20,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-21,synthetic-calendar-v1:2026-06-21,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-22,synthetic-calendar-v1:2026-06-22,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-23,synthetic-calendar-v1:2026-06-23,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-24,synthetic-calendar-v1:2026-06-24,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-25,synthetic-calendar-v1:2026-06-25,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-26,synthetic-calendar-v1:2026-06-26,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-27,synthetic-calendar-v1:2026-06-27,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-28,synthetic-calendar-v1:2026-06-28,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-29,synthetic-calendar-v1:2026-06-29,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-06-30,synthetic-calendar-v1:2026-06-30,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-01,synthetic-calendar-v1:2026-07-01,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-02,synthetic-calendar-v1:2026-07-02,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-03,synthetic-calendar-v1:2026-07-03,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-04,synthetic-calendar-v1:2026-07-04,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-05,synthetic-calendar-v1:2026-07-05,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-06,synthetic-calendar-v1:2026-07-06,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-07,synthetic-calendar-v1:2026-07-07,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-08,synthetic-calendar-v1:2026-07-08,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-09,synthetic-calendar-v1:2026-07-09,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-10,synthetic-calendar-v1:2026-07-10,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-11,synthetic-calendar-v1:2026-07-11,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-12,synthetic-calendar-v1:2026-07-12,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-13,synthetic-calendar-v1:2026-07-13,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-14,synthetic-calendar-v1:2026-07-14,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-15,synthetic-calendar-v1:2026-07-15,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-16,synthetic-calendar-v1:2026-07-16,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-17,synthetic-calendar-v1:2026-07-17,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-18,synthetic-calendar-v1:2026-07-18,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-19,synthetic-calendar-v1:2026-07-19,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-20,synthetic-calendar-v1:2026-07-20,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-21,synthetic-calendar-v1:2026-07-21,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-22,synthetic-calendar-v1:2026-07-22,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-23,synthetic-calendar-v1:2026-07-23,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-24,synthetic-calendar-v1:2026-07-24,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-25,synthetic-calendar-v1:2026-07-25,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-26,synthetic-calendar-v1:2026-07-26,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-27,synthetic-calendar-v1:2026-07-27,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-28,synthetic-calendar-v1:2026-07-28,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-29,synthetic-calendar-v1:2026-07-29,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-30,synthetic-calendar-v1:2026-07-30,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-07-31,synthetic-calendar-v1:2026-07-31,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-01,synthetic-calendar-v1:2026-08-01,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-02,synthetic-calendar-v1:2026-08-02,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-03,synthetic-calendar-v1:2026-08-03,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-04,synthetic-calendar-v1:2026-08-04,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-05,synthetic-calendar-v1:2026-08-05,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-06,synthetic-calendar-v1:2026-08-06,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-07,synthetic-calendar-v1:2026-08-07,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-08,synthetic-calendar-v1:2026-08-08,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-09,synthetic-calendar-v1:2026-08-09,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-10,synthetic-calendar-v1:2026-08-10,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-11,synthetic-calendar-v1:2026-08-11,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-12,synthetic-calendar-v1:2026-08-12,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-13,synthetic-calendar-v1:2026-08-13,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-14,synthetic-calendar-v1:2026-08-14,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-15,synthetic-calendar-v1:2026-08-15,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-16,synthetic-calendar-v1:2026-08-16,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-17,synthetic-calendar-v1:2026-08-17,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-18,synthetic-calendar-v1:2026-08-18,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-19,synthetic-calendar-v1:2026-08-19,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-20,synthetic-calendar-v1:2026-08-20,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-21,synthetic-calendar-v1:2026-08-21,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-22,synthetic-calendar-v1:2026-08-22,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-23,synthetic-calendar-v1:2026-08-23,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-24,synthetic-calendar-v1:2026-08-24,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-25,synthetic-calendar-v1:2026-08-25,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-26,synthetic-calendar-v1:2026-08-26,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-27,synthetic-calendar-v1:2026-08-27,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-28,synthetic-calendar-v1:2026-08-28,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-29,synthetic-calendar-v1:2026-08-29,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-30,synthetic-calendar-v1:2026-08-30,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-08-31,synthetic-calendar-v1:2026-08-31,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-01,synthetic-calendar-v1:2026-09-01,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-02,synthetic-calendar-v1:2026-09-02,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-03,synthetic-calendar-v1:2026-09-03,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-04,synthetic-calendar-v1:2026-09-04,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-05,synthetic-calendar-v1:2026-09-05,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-06,synthetic-calendar-v1:2026-09-06,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-07,synthetic-calendar-v1:2026-09-07,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-08,synthetic-calendar-v1:2026-09-08,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-09,synthetic-calendar-v1:2026-09-09,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-10,synthetic-calendar-v1:2026-09-10,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-11,synthetic-calendar-v1:2026-09-11,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-12,synthetic-calendar-v1:2026-09-12,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-13,synthetic-calendar-v1:2026-09-13,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-14,synthetic-calendar-v1:2026-09-14,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-15,synthetic-calendar-v1:2026-09-15,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-16,synthetic-calendar-v1:2026-09-16,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-17,synthetic-calendar-v1:2026-09-17,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-18,synthetic-calendar-v1:2026-09-18,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-19,synthetic-calendar-v1:2026-09-19,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-20,synthetic-calendar-v1:2026-09-20,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-21,synthetic-calendar-v1:2026-09-21,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-22,synthetic-calendar-v1:2026-09-22,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-23,synthetic-calendar-v1:2026-09-23,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-24,synthetic-calendar-v1:2026-09-24,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-25,synthetic-calendar-v1:2026-09-25,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-26,synthetic-calendar-v1:2026-09-26,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-27,synthetic-calendar-v1:2026-09-27,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-28,synthetic-calendar-v1:2026-09-28,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-29,synthetic-calendar-v1:2026-09-29,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-09-30,synthetic-calendar-v1:2026-09-30,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-01,synthetic-calendar-v1:2026-10-01,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-02,synthetic-calendar-v1:2026-10-02,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-03,synthetic-calendar-v1:2026-10-03,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-04,synthetic-calendar-v1:2026-10-04,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-05,synthetic-calendar-v1:2026-10-05,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-06,synthetic-calendar-v1:2026-10-06,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-07,synthetic-calendar-v1:2026-10-07,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-08,synthetic-calendar-v1:2026-10-08,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-09,synthetic-calendar-v1:2026-10-09,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-10,synthetic-calendar-v1:2026-10-10,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-11,synthetic-calendar-v1:2026-10-11,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-12,synthetic-calendar-v1:2026-10-12,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-13,synthetic-calendar-v1:2026-10-13,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-14,synthetic-calendar-v1:2026-10-14,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-15,synthetic-calendar-v1:2026-10-15,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-16,synthetic-calendar-v1:2026-10-16,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-17,synthetic-calendar-v1:2026-10-17,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-18,synthetic-calendar-v1:2026-10-18,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-19,synthetic-calendar-v1:2026-10-19,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-20,synthetic-calendar-v1:2026-10-20,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-21,synthetic-calendar-v1:2026-10-21,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-22,synthetic-calendar-v1:2026-10-22,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-23,synthetic-calendar-v1:2026-10-23,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-24,synthetic-calendar-v1:2026-10-24,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-25,synthetic-calendar-v1:2026-10-25,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-26,synthetic-calendar-v1:2026-10-26,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-27,synthetic-calendar-v1:2026-10-27,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-28,synthetic-calendar-v1:2026-10-28,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-29,synthetic-calendar-v1:2026-10-29,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-30,synthetic-calendar-v1:2026-10-30,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-10-31,synthetic-calendar-v1:2026-10-31,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-01,synthetic-calendar-v1:2026-11-01,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-02,synthetic-calendar-v1:2026-11-02,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-03,synthetic-calendar-v1:2026-11-03,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-04,synthetic-calendar-v1:2026-11-04,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-05,synthetic-calendar-v1:2026-11-05,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-06,synthetic-calendar-v1:2026-11-06,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-07,synthetic-calendar-v1:2026-11-07,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-08,synthetic-calendar-v1:2026-11-08,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-09,synthetic-calendar-v1:2026-11-09,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-10,synthetic-calendar-v1:2026-11-10,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-11,synthetic-calendar-v1:2026-11-11,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-12,synthetic-calendar-v1:2026-11-12,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-13,synthetic-calendar-v1:2026-11-13,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-14,synthetic-calendar-v1:2026-11-14,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-15,synthetic-calendar-v1:2026-11-15,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-16,synthetic-calendar-v1:2026-11-16,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-17,synthetic-calendar-v1:2026-11-17,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-18,synthetic-calendar-v1:2026-11-18,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-19,synthetic-calendar-v1:2026-11-19,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-20,synthetic-calendar-v1:2026-11-20,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-21,synthetic-calendar-v1:2026-11-21,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-22,synthetic-calendar-v1:2026-11-22,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-23,synthetic-calendar-v1:2026-11-23,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-24,synthetic-calendar-v1:2026-11-24,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-25,synthetic-calendar-v1:2026-11-25,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-26,synthetic-calendar-v1:2026-11-26,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-27,synthetic-calendar-v1:2026-11-27,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-28,synthetic-calendar-v1:2026-11-28,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-29,synthetic-calendar-v1:2026-11-29,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-11-30,synthetic-calendar-v1:2026-11-30,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-01,synthetic-calendar-v1:2026-12-01,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-02,synthetic-calendar-v1:2026-12-02,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-03,synthetic-calendar-v1:2026-12-03,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-04,synthetic-calendar-v1:2026-12-04,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-05,synthetic-calendar-v1:2026-12-05,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-06,synthetic-calendar-v1:2026-12-06,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-07,synthetic-calendar-v1:2026-12-07,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-08,synthetic-calendar-v1:2026-12-08,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-09,synthetic-calendar-v1:2026-12-09,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-10,synthetic-calendar-v1:2026-12-10,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-11,synthetic-calendar-v1:2026-12-11,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-12,synthetic-calendar-v1:2026-12-12,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-13,synthetic-calendar-v1:2026-12-13,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-14,synthetic-calendar-v1:2026-12-14,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-15,synthetic-calendar-v1:2026-12-15,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-16,synthetic-calendar-v1:2026-12-16,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-17,synthetic-calendar-v1:2026-12-17,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-18,synthetic-calendar-v1:2026-12-18,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-19,synthetic-calendar-v1:2026-12-19,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-20,synthetic-calendar-v1:2026-12-20,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-21,synthetic-calendar-v1:2026-12-21,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-22,synthetic-calendar-v1:2026-12-22,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-23,synthetic-calendar-v1:2026-12-23,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-24,synthetic-calendar-v1:2026-12-24,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-25,synthetic-calendar-v1:2026-12-25,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-26,synthetic-calendar-v1:2026-12-26,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-27,synthetic-calendar-v1:2026-12-27,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-28,synthetic-calendar-v1:2026-12-28,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-29,synthetic-calendar-v1:2026-12-29,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-30,synthetic-calendar-v1:2026-12-30,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-12-31,synthetic-calendar-v1:2026-12-31,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2027-01-01,synthetic-calendar-v1:2027-01-01,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
