visit_id,job_id,occurrence_id,line_code,sector_id,service_date,visit_seq,status,locked,actual
RM:SEC:ALP:S02_S03:2026-05-14:VISIT:3,RM:SEC:ALP:S02_S03:2026-05-14,OCC:SEC:ALP:S02_S03:2026-05-14,ALP,SEC:ALP:S02_S03,2026-05-18,3,historical,True,True
RM:SEC:ALP:S02_S03:2027-01-14:VISIT:1,RM:SEC:ALP:S02_S03:2027-01-14,OCC:SEC:ALP:S02_S03:2027-01-14,ALP,SEC:ALP:S02_S03,2027-01-14,1,scheduled,False,False
RM:SEC:ALP:S02_S03:2027-01-14:VISIT:2,RM:SEC:ALP:S02_S03:2027-01-14,OCC:SEC:ALP:S02_S03:2027-01-14,ALP,SEC:ALP:S02_S03,2027-01-16,2,scheduled,False,False
RM:SEC:ALP:S02_S03:2027-01-14:VISIT:3,RM:SEC:ALP:S02_S03:2027-01-14,OCC:SEC:ALP:S02_S03:2027-01-14,ALP,SEC:ALP:S02_S03,2027-01-18,3,scheduled,False,False
RM:SEC:ALP:S02_S03:2027-09-16:VISIT:1,RM:SEC:ALP:S02_S03:2027-09-16,OCC:SEC:ALP:S02_S03:2027-09-16,ALP,SEC:ALP:S02_S03,2027-09-16,1,scheduled,False,False
RM:SEC:ALP:S02_S03:2027-09-16:VISIT:2,RM:SEC:ALP:S02_S03:2027-09-16,OCC:SEC:ALP:S02_S03:2027-09-16,ALP,SEC:ALP:S02_S03,2027-09-18,2,scheduled,False,False
RM:SEC:ALP:S02_S03:2027-09-16:VISIT:3,RM:SEC:ALP:S02_S03:2027-09-16,OCC:SEC:ALP:S02_S03:2027-09-16,ALP,SEC:ALP:S02_S03,2027-09-20,3,scheduled,False,False
RM:SEC:ALP:S02_S03:2028-05-18:VISIT:1,RM:SEC:ALP:S02_S03:2028-05-18,OCC:SEC:ALP:S02_S03:2028-05-18,ALP,SEC:ALP:S02_S03,2028-05-18,1,committed,True,False
RM:SEC:ALP:S02_S03:2028-05-18:VISIT:2,RM:SEC:ALP:S02_S03:2028-05-18,OCC:SEC:ALP:S02_S03:2028-05-18,ALP,SEC:ALP:S02_S03,2028-05-20,2,committed,True,False
RM:SEC:ALP:S02_S03:2028-05-18:VISIT:3,RM:SEC:ALP:S02_S03:2028-05-18,OCC:SEC:ALP:S02_S03:2028-05-18,ALP,SEC:ALP:S02_S03,2028-05-22,3,committed,True,False
RM:SEC:ALP:S03_S04:2026-05-24:VISIT:1,RM:SEC:ALP:S03_S04:2026-05-24,OCC:SEC:ALP:S03_S04:2026-05-24,ALP,SEC:ALP:S03_S04,2026-05-24,1,historical,True,True
RM:SEC:ALP:S03_S04:2026-05-24:VISIT:2,RM:SEC:ALP:S03_S04:2026-05-24,OCC:SEC:ALP:S03_S04:2026-05-24,ALP,SEC:ALP:S03_S04,2026-05-26,2,historical,True,True
RM:SEC:ALP:S03_S04:2026-05-24:VISIT:3,RM:SEC:ALP:S03_S04:2026-05-24,OCC:SEC:ALP:S03_S04:2026-05-24,ALP,SEC:ALP:S03_S04,2026-05-28,3,historical,True,True
RM:SEC:ALP:S03_S04:2027-01-24:VISIT:1,RM:SEC:ALP:S03_S04:2027-01-24,OCC:SEC:ALP:S03_S04:2027-01-24,ALP,SEC:ALP:S03_S04,2027-01-24,1,scheduled,False,False
RM:SEC:ALP:S03_S04:2027-01-24:VISIT:2,RM:SEC:ALP:S03_S04:2027-01-24,OCC:SEC:ALP:S03_S04:2027-01-24,ALP,SEC:ALP:S03_S04,2027-01-26,2,scheduled,False,False
RM:SEC:ALP:S03_S04:2027-01-24:VISIT:3,RM:SEC:ALP:S03_S04:2027-01-24,OCC:SEC:ALP:S03_S04:2027-01-24,ALP,SEC:ALP:S03_S04,2027-01-28,3,scheduled,False,False
RM:SEC:ALP:S03_S04:2027-09-26:VISIT:1,RM:SEC:ALP:S03_S04:2027-09-26,OCC:SEC:ALP:S03_S04:2027-09-26,ALP,SEC:ALP:S03_S04,2027-09-26,1,scheduled,False,False
RM:SEC:ALP:S03_S04:2027-09-26:VISIT:2,RM:SEC:ALP:S03_S04:2027-09-26,OCC:SEC:ALP:S03_S04:2027-09-26,ALP,SEC:ALP:S03_S04,2027-09-28,2,scheduled,False,False
RM:SEC:ALP:S03_S04:2027-09-26:VISIT:3,RM:SEC:ALP:S03_S04:2027-09-26,OCC:SEC:ALP:S03_S04:2027-09-26,ALP,SEC:ALP:S03_S04,2027-09-30,3,scheduled,False,False
RM:SEC:ALP:S03_S04:2028-05-28:VISIT:1,RM:SEC:ALP:S03_S04:2028-05-28,OCC:SEC:ALP:S03_S04:2028-05-28,ALP,SEC:ALP:S03_S04,2028-05-28,1,committed,True,False
RM:SEC:ALP:S03_S04:2028-05-28:VISIT:2,RM:SEC:ALP:S03_S04:2028-05-28,OCC:SEC:ALP:S03_S04:2028-05-28,ALP,SEC:ALP:S03_S04,2028-05-30,2,committed,True,False
RM:SEC:ALP:S03_S04:2028-05-28:VISIT:3,RM:SEC:ALP:S03_S04:2028-05-28,OCC:SEC:ALP:S03_S04:2028-05-28,ALP,SEC:ALP:S03_S04,2028-06-01,3,committed,True,False
RM:SEC:ALP:S04_H01:2026-06-03:VISIT:1,RM:SEC:ALP:S04_H01:2026-06-03,OCC:SEC:ALP:S04_H01:2026-06-03,ALP,SEC:ALP:S04_H01,2026-06-03,1,historical,True,True
RM:SEC:ALP:S04_H01:2026-06-03:VISIT:2,RM:SEC:ALP:S04_H01:2026-06-03,OCC:SEC:ALP:S04_H01:2026-06-03,ALP,SEC:ALP:S04_H01,2026-06-05,2,historical,True,True
RM:SEC:ALP:S04_H01:2026-06-03:VISIT:3,RM:SEC:ALP:S04_H01:2026-06-03,OCC:SEC:ALP:S04_H01:2026-06-03,ALP,SEC:ALP:S04_H01,2026-06-07,3,historical,True,True
RM:SEC:ALP:S04_H01:2027-02-03:VISIT:1,RM:SEC:ALP:S04_H01:2027-02-03,OCC:SEC:ALP:S04_H01:2027-02-03,ALP,SEC:ALP:S04_H01,2027-02-03,1,scheduled,False,False
RM:SEC:ALP:S04_H01:2027-02-03:VISIT:2,RM:SEC:ALP:S04_H01:2027-02-03,OCC:SEC:ALP:S04_H01:2027-02-03,ALP,SEC:ALP:S04_H01,2027-02-05,2,scheduled,False,False
RM:SEC:ALP:S04_H01:2027-02-03:VISIT:3,RM:SEC:ALP:S04_H01:2027-02-03,OCC:SEC:ALP:S04_H01:2027-02-03,ALP,SEC:ALP:S04_H01,2027-02-07,3,scheduled,False,False
RM:SEC:ALP:S04_H01:2027-10-06:VISIT:1,RM:SEC:ALP:S04_H01:2027-10-06,OCC:SEC:ALP:S04_H01:2027-10-06,ALP,SEC:ALP:S04_H01,2027-10-06,1,scheduled,False,False
RM:SEC:ALP:S04_H01:2027-10-06:VISIT:2,RM:SEC:ALP:S04_H01:2027-10-06,OCC:SEC:ALP:S04_H01:2027-10-06,ALP,SEC:ALP:S04_H01,2027-10-08,2,scheduled,False,False
RM:SEC:ALP:S04_H01:2027-10-06:VISIT:3,RM:SEC:ALP:S04_H01:2027-10-06,OCC:SEC:ALP:S04_H01:2027-10-06,ALP,SEC:ALP:S04_H01,2027-10-10,3,scheduled,False,False
RM:SEC:ALP:S04_H01:2028-06-07:VISIT:1,RM:SEC:ALP:S04_H01:2028-06-07,OCC:SEC:ALP:S04_H01:2028-06-07,ALP,SEC:ALP:S04_H01,2028-06-07,1,committed,True,False
RM:SEC:ALP:S04_H01:2028-06-07:VISIT:2,RM:SEC:ALP:S04_H01:2028-06-07,OCC:SEC:ALP:S04_H01:2028-06-07,ALP,SEC:ALP:S04_H01,2028-06-09,2,committed,True,False
RM:SEC:ALP:S04_H01:2028-06-07:VISIT:3,RM:SEC:ALP:S04_H01:2028-06-07,OCC:SEC:ALP:S04_H01:2028-06-07,ALP,SEC:ALP:S04_H01,2028-06-11,3,committed,True,False
RM:SEC:ALP:H01_H02:2026-06-13:VISIT:1,RM:SEC:ALP:H01_H02:2026-06-13,OCC:SEC:ALP:H01_H02:2026-06-13,ALP,SEC:ALP:H01_H02,2026-06-13,1,historical,True,True
RM:SEC:ALP:H01_H02:2026-06-13:VISIT:2,RM:SEC:ALP:H01_H02:2026-06-13,OCC:SEC:ALP:H01_H02:2026-06-13,ALP,SEC:ALP:H01_H02,2026-06-15,2,historical,True,True
RM:SEC:ALP:H01_H02:2026-06-13:VISIT:3,RM:SEC:ALP:H01_H02:2026-06-13,OCC:SEC:ALP:H01_H02:2026-06-13,ALP,SEC:ALP:H01_H02,2026-06-17,3,historical,True,True
RM:SEC:ALP:H01_H02:2027-02-13:VISIT:1,RM:SEC:ALP:H01_H02:2027-02-13,OCC:SEC:ALP:H01_H02:2027-02-13,ALP,SEC:ALP:H01_H02,2027-02-13,1,scheduled,False,False
RM:SEC:ALP:H01_H02:2027-02-13:VISIT:2,RM:SEC:ALP:H01_H02:2027-02-13,OCC:SEC:ALP:H01_H02:2027-02-13,ALP,SEC:ALP:H01_H02,2027-02-15,2,scheduled,False,False
RM:SEC:ALP:H01_H02:2027-02-13:VISIT:3,RM:SEC:ALP:H01_H02:2027-02-13,OCC:SEC:ALP:H01_H02:2027-02-13,ALP,SEC:ALP:H01_H02,2027-02-17,3,scheduled,False,False
RM:SEC:ALP:H01_H02:2027-10-16:VISIT:1,RM:SEC:ALP:H01_H02:2027-10-16,OCC:SEC:ALP:H01_H02:2027-10-16,ALP,SEC:ALP:H01_H02,2027-10-16,1,scheduled,False,False
RM:SEC:ALP:H01_H02:2027-10-16:VISIT:2,RM:SEC:ALP:H01_H02:2027-10-16,OCC:SEC:ALP:H01_H02:2027-10-16,ALP,SEC:ALP:H01_H02,2027-10-18,2,scheduled,False,False
RM:SEC:ALP:H01_H02:2027-10-16:VISIT:3,RM:SEC:ALP:H01_H02:2027-10-16,OCC:SEC:ALP:H01_H02:2027-10-16,ALP,SEC:ALP:H01_H02,2027-10-20,3,scheduled,False,False
RM:SEC:ALP:H01_H02:2028-06-17:VISIT:1,RM:SEC:ALP:H01_H02:2028-06-17,OCC:SEC:ALP:H01_H02:2028-06-17,ALP,SEC:ALP:H01_H02,2028-06-17,1,committed,True,False
RM:SEC:ALP:H01_H02:2028-06-17:VISIT:2,RM:SEC:ALP:H01_H02:2028-06-17,OCC:SEC:ALP:H01_H02:2028-06-17,ALP,SEC:ALP:H01_H02,2028-06-19,2,committed,True,False
RM:SEC:ALP:H01_H02:2028-06-17:VISIT:3,RM:SEC:ALP:H01_H02:2028-06-17,OCC:SEC:ALP:H01_H02:2028-06-17,ALP,SEC:ALP:H01_H02,2028-06-21,3,committed,True,False
RM:SEC:ALP:H02_S05:2026-06-23:VISIT:1,RM:SEC:ALP:H02_S05:2026-06-23,OCC:SEC:ALP:H02_S05:2026-06-23,ALP,SEC:ALP:H02_S05,2026-06-23,1,historical,True,True
RM:SEC:ALP:H02_S05:2026-06-23:VISIT:2,RM:SEC:ALP:H02_S05:2026-06-23,OCC:SEC:ALP:H02_S05:2026-06-23,ALP,SEC:ALP:H02_S05,2026-06-25,2,historical,True,True
RM:SEC:ALP:H02_S05:2026-06-23:VISIT:3,RM:SEC:ALP:H02_S05:2026-06-23,OCC:SEC:ALP:H02_S05:2026-06-23,ALP,SEC:ALP:H02_S05,2026-06-27,3,historical,True,True
RM:SEC:ALP:H02_S05:2027-02-23:VISIT:1,RM:SEC:ALP:H02_S05:2027-02-23,OCC:SEC:ALP:H02_S05:2027-02-23,ALP,SEC:ALP:H02_S05,2027-02-23,1,scheduled,False,False
RM:SEC:ALP:H02_S05:2027-02-23:VISIT:2,RM:SEC:ALP:H02_S05:2027-02-23,OCC:SEC:ALP:H02_S05:2027-02-23,ALP,SEC:ALP:H02_S05,2027-02-25,2,scheduled,False,False
RM:SEC:ALP:H02_S05:2027-02-23:VISIT:3,RM:SEC:ALP:H02_S05:2027-02-23,OCC:SEC:ALP:H02_S05:2027-02-23,ALP,SEC:ALP:H02_S05,2027-02-27,3,scheduled,False,False
RM:SEC:ALP:H02_S05:2027-10-26:VISIT:1,RM:SEC:ALP:H02_S05:2027-10-26,OCC:SEC:ALP:H02_S05:2027-10-26,ALP,SEC:ALP:H02_S05,2027-10-26,1,scheduled,False,False
RM:SEC:ALP:H02_S05:2027-10-26:VISIT:2,RM:SEC:ALP:H02_S05:2027-10-26,OCC:SEC:ALP:H02_S05:2027-10-26,ALP,SEC:ALP:H02_S05,2027-10-28,2,scheduled,False,False
RM:SEC:ALP:H02_S05:2027-10-26:VISIT:3,RM:SEC:ALP:H02_S05:2027-10-26,OCC:SEC:ALP:H02_S05:2027-10-26,ALP,SEC:ALP:H02_S05,2027-10-30,3,scheduled,False,False
RM:SEC:ALP:H02_S05:2028-06-27:VISIT:1,RM:SEC:ALP:H02_S05:2028-06-27,OCC:SEC:ALP:H02_S05:2028-06-27,ALP,SEC:ALP:H02_S05,2028-06-27,1,committed,True,False
RM:SEC:ALP:H02_S05:2028-06-27:VISIT:2,RM:SEC:ALP:H02_S05:2028-06-27,OCC:SEC:ALP:H02_S05:2028-06-27,ALP,SEC:ALP:H02_S05,2028-06-29,2,committed,True,False
RM:SEC:ALP:H02_S05:2028-06-27:VISIT:3,RM:SEC:ALP:H02_S05:2028-06-27,OCC:SEC:ALP:H02_S05:2028-06-27,ALP,SEC:ALP:H02_S05,2028-07-01,3,committed,True,False
RM:SEC:ALP:S05_S06:2026-07-03:VISIT:1,RM:SEC:ALP:S05_S06:2026-07-03,OCC:SEC:ALP:S05_S06:2026-07-03,ALP,SEC:ALP:S05_S06,2026-07-03,1,historical,True,True
RM:SEC:ALP:S05_S06:2026-07-03:VISIT:2,RM:SEC:ALP:S05_S06:2026-07-03,OCC:SEC:ALP:S05_S06:2026-07-03,ALP,SEC:ALP:S05_S06,2026-07-05,2,historical,True,True
RM:SEC:ALP:S05_S06:2026-07-03:VISIT:3,RM:SEC:ALP:S05_S06:2026-07-03,OCC:SEC:ALP:S05_S06:2026-07-03,ALP,SEC:ALP:S05_S06,2026-07-07,3,historical,True,True
RM:SEC:ALP:S05_S06:2027-03-05:VISIT:1,RM:SEC:ALP:S05_S06:2027-03-05,OCC:SEC:ALP:S05_S06:2027-03-05,ALP,SEC:ALP:S05_S06,2027-03-05,1,scheduled,False,False
RM:SEC:ALP:S05_S06:2027-03-05:VISIT:2,RM:SEC:ALP:S05_S06:2027-03-05,OCC:SEC:ALP:S05_S06:2027-03-05,ALP,SEC:ALP:S05_S06,2027-03-07,2,scheduled,False,False
RM:SEC:ALP:S05_S06:2027-03-05:VISIT:3,RM:SEC:ALP:S05_S06:2027-03-05,OCC:SEC:ALP:S05_S06:2027-03-05,ALP,SEC:ALP:S05_S06,2027-03-09,3,scheduled,False,False
RM:SEC:ALP:S05_S06:2027-11-05:VISIT:1,RM:SEC:ALP:S05_S06:2027-11-05,OCC:SEC:ALP:S05_S06:2027-11-05,ALP,SEC:ALP:S05_S06,2027-11-05,1,scheduled,False,False
RM:SEC:ALP:S05_S06:2027-11-05:VISIT:2,RM:SEC:ALP:S05_S06:2027-11-05,OCC:SEC:ALP:S05_S06:2027-11-05,ALP,SEC:ALP:S05_S06,2027-11-07,2,scheduled,False,False
RM:SEC:ALP:S05_S06:2027-11-05:VISIT:3,RM:SEC:ALP:S05_S06:2027-11-05,OCC:SEC:ALP:S05_S06:2027-11-05,ALP,SEC:ALP:S05_S06,2027-11-09,3,scheduled,False,False
RM:SEC:ALP:S05_S06:2028-07-07:VISIT:1,RM:SEC:ALP:S05_S06:2028-07-07,OCC:SEC:ALP:S05_S06:2028-07-07,ALP,SEC:ALP:S05_S06,2028-07-07,1,committed,True,False
RM:SEC:ALP:S05_S06:2028-07-07:VISIT:2,RM:SEC:ALP:S05_S06:2028-07-07,OCC:SEC:ALP:S05_S06:2028-07-07,ALP,SEC:ALP:S05_S06,2028-07-09,2,committed,True,False
RM:SEC:ALP:S05_S06:2028-07-07:VISIT:3,RM:SEC:ALP:S05_S06:2028-07-07,OCC:SEC:ALP:S05_S06:2028-07-07,ALP,SEC:ALP:S05_S06,2028-07-11,3,committed,True,False
RM:SEC:ALP:S06_S07:2026-07-13:VISIT:1,RM:SEC:ALP:S06_S07:2026-07-13,OCC:SEC:ALP:S06_S07:2026-07-13,ALP,SEC:ALP:S06_S07,2026-07-13,1,historical,True,True
RM:SEC:ALP:S06_S07:2026-07-13:VISIT:2,RM:SEC:ALP:S06_S07:2026-07-13,OCC:SEC:ALP:S06_S07:2026-07-13,ALP,SEC:ALP:S06_S07,2026-07-15,2,historical,True,True
RM:SEC:ALP:S06_S07:2026-07-13:VISIT:3,RM:SEC:ALP:S06_S07:2026-07-13,OCC:SEC:ALP:S06_S07:2026-07-13,ALP,SEC:ALP:S06_S07,2026-07-17,3,historical,True,True
RM:SEC:ALP:S06_S07:2027-03-15:VISIT:1,RM:SEC:ALP:S06_S07:2027-03-15,OCC:SEC:ALP:S06_S07:2027-03-15,ALP,SEC:ALP:S06_S07,2027-03-15,1,scheduled,False,False
RM:SEC:ALP:S06_S07:2027-03-15:VISIT:2,RM:SEC:ALP:S06_S07:2027-03-15,OCC:SEC:ALP:S06_S07:2027-03-15,ALP,SEC:ALP:S06_S07,2027-03-17,2,scheduled,False,False
RM:SEC:ALP:S06_S07:2027-03-15:VISIT:3,RM:SEC:ALP:S06_S07:2027-03-15,OCC:SEC:ALP:S06_S07:2027-03-15,ALP,SEC:ALP:S06_S07,2027-03-19,3,scheduled,False,False
RM:SEC:ALP:S06_S07:2027-11-15:VISIT:1,RM:SEC:ALP:S06_S07:2027-11-15,OCC:SEC:ALP:S06_S07:2027-11-15,ALP,SEC:ALP:S06_S07,2027-11-15,1,scheduled,False,False
RM:SEC:ALP:S06_S07:2027-11-15:VISIT:2,RM:SEC:ALP:S06_S07:2027-11-15,OCC:SEC:ALP:S06_S07:2027-11-15,ALP,SEC:ALP:S06_S07,2027-11-17,2,scheduled,False,False
RM:SEC:ALP:S06_S07:2027-11-15:VISIT:3,RM:SEC:ALP:S06_S07:2027-11-15,OCC:SEC:ALP:S06_S07:2027-11-15,ALP,SEC:ALP:S06_S07,2027-11-19,3,scheduled,False,False
RM:SEC:ALP:S06_S07:2028-07-17:VISIT:1,RM:SEC:ALP:S06_S07:2028-07-17,OCC:SEC:ALP:S06_S07:2028-07-17,ALP,SEC:ALP:S06_S07,2028-07-17,1,committed,True,False
RM:SEC:ALP:S06_S07:2028-07-17:VISIT:2,RM:SEC:ALP:S06_S07:2028-07-17,OCC:SEC:ALP:S06_S07:2028-07-17,ALP,SEC:ALP:S06_S07,2028-07-19,2,committed,True,False
RM:SEC:ALP:S06_S07:2028-07-17:VISIT:3,RM:SEC:ALP:S06_S07:2028-07-17,OCC:SEC:ALP:S06_S07:2028-07-17,ALP,SEC:ALP:S06_S07,2028-07-21,3,committed,True,False
RM:SEC:ALP:S07_S08:2026-07-23:VISIT:1,RM:SEC:ALP:S07_S08:2026-07-23,OCC:SEC:ALP:S07_S08:2026-07-23,ALP,SEC:ALP:S07_S08,2026-07-23,1,historical,True,True
RM:SEC:ALP:S07_S08:2026-07-23:VISIT:2,RM:SEC:ALP:S07_S08:2026-07-23,OCC:SEC:ALP:S07_S08:2026-07-23,ALP,SEC:ALP:S07_S08,2026-07-25,2,historical,True,True
RM:SEC:ALP:S07_S08:2026-07-23:VISIT:3,RM:SEC:ALP:S07_S08:2026-07-23,OCC:SEC:ALP:S07_S08:2026-07-23,ALP,SEC:ALP:S07_S08,2026-07-27,3,historical,True,True
RM:SEC:ALP:S07_S08:2027-03-25:VISIT:1,RM:SEC:ALP:S07_S08:2027-03-25,OCC:SEC:ALP:S07_S08:2027-03-25,ALP,SEC:ALP:S07_S08,2027-03-25,1,scheduled,False,False
RM:SEC:ALP:S07_S08:2027-03-25:VISIT:2,RM:SEC:ALP:S07_S08:2027-03-25,OCC:SEC:ALP:S07_S08:2027-03-25,ALP,SEC:ALP:S07_S08,2027-03-27,2,scheduled,False,False
RM:SEC:ALP:S07_S08:2027-03-25:VISIT:3,RM:SEC:ALP:S07_S08:2027-03-25,OCC:SEC:ALP:S07_S08:2027-03-25,ALP,SEC:ALP:S07_S08,2027-03-29,3,scheduled,False,False
RM:SEC:ALP:S07_S08:2027-11-25:VISIT:1,RM:SEC:ALP:S07_S08:2027-11-25,OCC:SEC:ALP:S07_S08:2027-11-25,ALP,SEC:ALP:S07_S08,2027-11-25,1,scheduled,False,False
RM:SEC:ALP:S07_S08:2027-11-25:VISIT:2,RM:SEC:ALP:S07_S08:2027-11-25,OCC:SEC:ALP:S07_S08:2027-11-25,ALP,SEC:ALP:S07_S08,2027-11-27,2,scheduled,False,False
RM:SEC:ALP:S07_S08:2027-11-25:VISIT:3,RM:SEC:ALP:S07_S08:2027-11-25,OCC:SEC:ALP:S07_S08:2027-11-25,ALP,SEC:ALP:S07_S08,2027-11-29,3,scheduled,False,False
RM:SEC:ALP:S07_S08:2028-07-27:VISIT:1,RM:SEC:ALP:S07_S08:2028-07-27,OCC:SEC:ALP:S07_S08:2028-07-27,ALP,SEC:ALP:S07_S08,2028-07-27,1,committed,True,False
RM:SEC:ALP:S07_S08:2028-07-27:VISIT:2,RM:SEC:ALP:S07_S08:2028-07-27,OCC:SEC:ALP:S07_S08:2028-07-27,ALP,SEC:ALP:S07_S08,2028-07-29,2,committed,True,False
RM:SEC:ALP:S07_S08:2028-07-27:VISIT:3,RM:SEC:ALP:S07_S08:2028-07-27,OCC:SEC:ALP:S07_S08:2028-07-27,ALP,SEC:ALP:S07_S08,2028-07-31,3,committed,True,False
RM:SEC:BET:S11_S12:2026-08-02:VISIT:1,RM:SEC:BET:S11_S12:2026-08-02,OCC:SEC:BET:S11_S12:2026-08-02,BET,SEC:BET:S11_S12,2026-08-02,1,historical,True,True
RM:SEC:BET:S11_S12:2026-08-02:VISIT:2,RM:SEC:BET:S11_S12:2026-08-02,OCC:SEC:BET:S11_S12:2026-08-02,BET,SEC:BET:S11_S12,2026-08-04,2,historical,True,True
RM:SEC:BET:S11_S12:2026-08-02:VISIT:3,RM:SEC:BET:S11_S12:2026-08-02,OCC:SEC:BET:S11_S12:2026-08-02,BET,SEC:BET:S11_S12,2026-08-06,3,historical,True,True
RM:SEC:BET:S11_S12:2027-04-04:VISIT:1,RM:SEC:BET:S11_S12:2027-04-04,OCC:SEC:BET:S11_S12:2027-04-04,BET,SEC:BET:S11_S12,2027-04-04,1,scheduled,False,False
RM:SEC:BET:S11_S12:2027-04-04:VISIT:2,RM:SEC:BET:S11_S12:2027-04-04,OCC:SEC:BET:S11_S12:2027-04-04,BET,SEC:BET:S11_S12,2027-04-06,2,scheduled,False,False
RM:SEC:BET:S11_S12:2027-04-04:VISIT:3,RM:SEC:BET:S11_S12:2027-04-04,OCC:SEC:BET:S11_S12:2027-04-04,BET,SEC:BET:S11_S12,2027-04-08,3,scheduled,False,False
RM:SEC:BET:S11_S12:2027-12-05:VISIT:1,RM:SEC:BET:S11_S12:2027-12-05,OCC:SEC:BET:S11_S12:2027-12-05,BET,SEC:BET:S11_S12,2027-12-05,1,scheduled,False,False
RM:SEC:BET:S11_S12:2027-12-05:VISIT:2,RM:SEC:BET:S11_S12:2027-12-05,OCC:SEC:BET:S11_S12:2027-12-05,BET,SEC:BET:S11_S12,2027-12-07,2,scheduled,False,False
RM:SEC:BET:S11_S12:2027-12-05:VISIT:3,RM:SEC:BET:S11_S12:2027-12-05,OCC:SEC:BET:S11_S12:2027-12-05,BET,SEC:BET:S11_S12,2027-12-09,3,scheduled,False,False
RM:SEC:BET:S11_S12:2028-08-06:VISIT:1,RM:SEC:BET:S11_S12:2028-08-06,OCC:SEC:BET:S11_S12:2028-08-06,BET,SEC:BET:S11_S12,2028-08-06,1,committed,True,False
RM:SEC:BET:S11_S12:2028-08-06:VISIT:2,RM:SEC:BET:S11_S12:2028-08-06,OCC:SEC:BET:S11_S12:2028-08-06,BET,SEC:BET:S11_S12,2028-08-08,2,committed,True,False
RM:SEC:BET:S11_S12:2028-08-06:VISIT:3,RM:SEC:BET:S11_S12:2028-08-06,OCC:SEC:BET:S11_S12:2028-08-06,BET,SEC:BET:S11_S12,2028-08-10,3,committed,True,False
RM:SEC:BET:S12_S13:2026-08-12:VISIT:1,RM:SEC:BET:S12_S13:2026-08-12,OCC:SEC:BET:S12_S13:2026-08-12,BET,SEC:BET:S12_S13,2026-08-12,1,historical,True,True
